timestamp,algo,device,max_side,content,style,params,time_ms,ssim_content,ssim_style
2025-09-21T17:46:24.159577,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11301.36,0.4219,0.0585
2025-09-21T17:46:51.421608,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\abstract-style-1.jpg,steps=400,26522.79,0.5380,0.0587
2025-09-21T17:47:02.512447,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\abstract-style-1.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",10919.03,0.4580,0.0436
2025-09-21T17:47:28.089457,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\starry_night.png,steps=400,24932.65,0.4367,0.0317
2025-09-21T17:47:39.086257,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\starry_night.png,"alpha=0.8,steps=300,opt=adam,tv=1e-06",10864.44,0.4717,0.0289
2025-09-21T17:48:05.336711,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\the_scream.jpg,steps=400,25242.14,0.5667,0.1423
2025-09-21T17:48:16.407935,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",10841.90,0.4349,0.0593
2025-09-21T17:48:51.530427,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\DP130155.jpg,steps=400,34497.97,0.6000,0.1967
2025-09-21T17:49:06.629383,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",14915.25,0.5302,0.0917
2025-09-21T17:49:39.988215,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,32800.59,0.5422,0.1005
2025-09-21T17:49:55.821501,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",14888.38,0.5045,0.0529
2025-09-21T17:50:29.250228,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\abstract-style-1.jpg,steps=400,32855.42,0.5679,0.0693
2025-09-21T17:50:44.297945,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\abstract-style-1.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",14883.20,0.5270,0.0454
2025-09-21T17:51:17.642301,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\starry_night.png,steps=400,32758.70,0.5031,0.0354
